Disease Term,Id,Description
Exanthema,561,Exanthema is a skin condition marked by a widespread rash usually caused by infections or drugs.
Hyperglycemia,562,"Hyperglycemia is a condition where an excessive amount of glucose circulates in the blood plasma, often a result of diabetes or other metabolic conditions."
"Anemia, Diamond-Blackfan",563,"Diamond-Blackfan Anemia is a rare, inherited blood disorder that primarily affects the bone marrow, leading to inadequate production of red blood cells."
Nephrocalcinosis,564,"Nephrocalcinosis is a renal disorder characterized by the excessive accumulation of calcium salts in the kidneys, often due to hypercalcemia or hyperoxaluria, which can lead to kidney stones and renal dysfunction."
Coronary Disease,565,"A condition characterized by damage or disorder of the coronary arteries, resulting in restricted blood supply to the heart muscle, often leading to chest pain (angina), heart attacks, heart failure, or abnormal heart rhythms."
Thyrotoxicosis,566,"Thyrotoxicosis is a condition characterized by an excessive amount of thyroid hormones in the body causing symptoms like rapid heart beat, sweating, weight loss, and nervousness."
Peripheral Nervous System Diseases,567,"These are disorders that cause dysfunction of nerves outside the brain and spinal cord, leading to symptoms like weakness, numbness, and pain typically in the hands and feet."
"Neoplasms, Radiation-Induced",568,These are abnormal growths that develop due to prolonged exposure to ionizing radiation.
"Mastocytosis, Systemic",569,"Systemic Mastocytosis is a rare disorder characterized by an excessive accumulation of mast cells, which are immune cells, in various organs that can cause symptoms like skin lesions, abdominal discomfort, low blood pressure, and in severe cases, organ damage."
Prion Diseases,570,"Prion diseases are a group of rare, fatal brain disorders characterized by misfolded proteins which can cause symptoms including rapidly progressing dementia, coordination and movement problems, and behavioral changes."
Gitelman Syndrome,571,"Gitelman Syndrome is a genetic disorder affecting the kidneys, leading to mineral imbalances such as low levels of potassium and magnesium in the blood, causing symptoms like muscle weakness, cramps, and fatigue."
Klippel-Feil Syndrome,572,"It is a rare genetic disorder characterized by the abnormal fusion of two or more bones in the neck, leading to a short neck and restricted movement of the upper spine."
Neuromuscular Diseases,573,"Neuromuscular diseases are a broad range of disorders that primarily affect the nerves responsible for controlling voluntary muscles in the body, leading to muscle weakness, spasms, atrophy, and/or dysfunction."
Multiple Endocrine Neoplasia Type 2a,574,"It's a rare genetic disorder characterized by the development of tumors in two or more endocrine glands, such as the thyroid, adrenal glands and parathyroid glands, often accompanied by overproduction of certain hormones."
Legionnaires' Disease,575,"Legionnaires' Disease is a severe type of pneumonia caused by Legionella bacteria, often contracted by inhaling mist from contaminated water systems or air-conditioning units."
Adrenal Insufficiency,576,"Adrenal insufficiency is a condition that occurs when the adrenal glands do not produce sufficient amounts of steroid hormones, primarily cortisol, leading to symptoms such as fatigue, muscle weakness, loss of appetite, weight loss, and low blood pressure."
Color Vision Defects,577,This condition is characterized by an inability or decreased ability to see color or perceive color differences under normal lighting conditions.
"Adenoma, Oxyphilic",578,"Oxyphilic Adenoma, also known as Hurthle cell adenoma, is a benign thyroid gland tumor characterized by cells with excessive amounts of mitochondria, giving them an acidophilic or eosinophilic appearance under a microscope."
Werner Syndrome,579,"Werner Syndrome is an extremely rare progressive disorder that results in rapid aging, typically beginning in adolescence or early adulthood, and it's characterized by the onset of a variety of diseases ordinarily seen in the elderly."
"Arrhythmias, Cardiac",580,"Arrhythmias, Cardiac is a group of conditions characterized by irregular heartbeats, which may be too fast, too slow, or irregular, potentially leading to other heart-related complications."
Spinocerebellar Ataxias,581,"Spinocerebellar Ataxias are a group of inherited disorders characterized by progressive changes in movement, coordination, and neurologic function due to degeneration of the part of the brain known as the cerebellum and spinal cord."
Immune Complex Diseases,582,"These are conditions characterized by tissue damage caused by the deposition of antigen-antibody complexes, especially in the vascular walls, which can lead to serious inflammation and organ damage."
Facial Dermatoses,583,"Facial Dermatoses refers to a range of skin conditions affecting the face, including acne, rosacea, and seborrheic dermatitis, each with varying symptoms such as redness, inflammation, and lesions."
"Cholangitis, Sclerosing",584,"Sclerosing Cholangitis is a chronic disease characterized by inflammation, scarring, and destruction of the bile ducts inside and outside the liver, leading potentially to liver failure."
"Epilepsy, Complex Partial",585,"Complex Partial Epilepsy is a type of seizure disorder characterized by localized seizures that originate from a specific region in the brain, often leading to a loss of consciousness and symptoms such as staring and uncontrolled movements."
Niemann-Pick Diseases,586,"Niemann-Pick Diseases are a subset of rare, inherited metabolic disorders where harmful quantities of lipids accumulate in the spleen, liver, lungs, bone marrow, and brain."
Tuberous Sclerosis,587,"Tuberous Sclerosis is a genetic disorder that causes noncancerous (benign) tumors to grow in many parts of the body, including the brain, skin, heart, eyes, kidneys, and lungs."
Diabetic Neuropathies,588,"Diabetic Neuropathies are a group of nerve disorders caused by diabetes that can lead to pain, numbness, and dysfunction in different parts of the body."
"Aortic Aneurysm, Thoracic",589,It's a condition characterized by a balloon-like bulge or weakening in the wall of the aorta (the main blood vessel that carries blood from the heart to the rest of the body) as it passes through the chest area.
